parcela,num,lon,lat,altitud_kml,dist_vecino_m,cuadrante,bbox_west,bbox_east,bbox_south,bbox_north
H65,65,-103.5006797215266,19.62549316602416,0.0,227.7918625880029,NO,-103.5015797215266,-103.4997797215266,19.62459316602416,19.62639316602416
H66,66,-103.5006843723593,19.62754606705777,0.0,227.7918625880029,NO,-103.5015843723593,-103.4997843723593,19.62664606705777,19.628446067057773
H67,67,-103.5006313932001,19.63204957316679,0.0,499.743347610078,NO,-103.5015313932001,-103.4997313932001,19.631149573166788,19.63294957316679
H68,68,-103.5041222734758,19.62764543878409,0.0,361.6240423718534,NO,-103.5050222734758,-103.5032222734758,19.626745438784088,19.62854543878409
H69,69,-103.5088931720352,19.62326850459801,0.0,213.03030309997058,NO,-103.5097931720352,-103.5079931720352,19.622368504598008,19.62416850459801
H70,70,-103.5081728823758,19.6263645881459,0.0,323.2662400012258,NO,-103.5090728823758,-103.5072728823758,19.6254645881459,19.627264588145902
H71,71,-103.5108963687992,19.62298058031248,0.0,213.03030309997058,NO,-103.5117963687992,-103.5099963687992,19.622080580312478,19.62388058031248
H72,72,-103.5088436795277,19.60791996745303,0.0,351.3197782169009,SO,-103.5097436795277,-103.5079436795277,19.607019967453027,19.60881996745303
H73,73,-103.5119994427884,19.60688026534045,0.0,348.0424368104057,SO,-103.5128994427884,-103.51109944278839,19.60598026534045,19.607780265340452
H74,74,-103.5034448997359,19.60589173726333,0.0,338.0400612683373,SO,-103.5043448997359,-103.5025448997359,19.60499173726333,19.606791737263332
H75,75,-103.5022381720191,19.60306803601581,0.0,338.0400612683373,SO,-103.5031381720191,-103.5013381720191,19.602168036015808,19.60396803601581
H76,76,-103.5080848952479,19.61379750235326,0.0,211.87496942976776,SO,-103.5089848952479,-103.5071848952479,19.61289750235326,19.614697502353263
H77,77,-103.5100682060295,19.61346016192836,0.0,87.8934909181633,SO,-103.5109682060295,-103.5091682060295,19.612560161928357,19.61436016192836
H78,78,-103.5105722727903,19.61409204222733,0.0,87.8934909181633,SO,-103.5114722727903,-103.5096722727903,19.61319204222733,19.614992042227332
H79,79,-103.5123741788091,19.61353215599024,0.0,199.39363900302985,SO,-103.5132741788091,-103.5114741788091,19.612632155990237,19.61443215599024
